step,agent_total_vehicles_passed,agent_total_stopped,agent_total_fuel_consumption,agent_co2_emission,agent_accumulated_waiting_time
2330.0,[1092],[370],[686230.824283241],[2151486.3313151407],[0.0]
2337.0,[1095],[371],[689837.9418654912],[2162795.502855575],[0.0]
2342.0,[1098],[372],[690613.2981271833],[2165226.4048796287],[0.0]
2349.0,[1101],[374],[691553.877505569],[2168175.3242030605],[0.0]
2354.0,[1103],[374],[693129.6782784882],[2173115.7895702943],[0.0]
2361.0,[1106],[375],[697207.0902811107],[2185899.5046265353],[0.0]
2366.0,[1109],[375],[702632.7691454652],[2202910.442727426],[0.0]
2373.0,[1113],[377],[706154.0849903991],[2213950.517781116],[0.0]
2378.0,[1114],[377],[706917.6693600494],[2216344.510603789],[0.0]
2385.0,[1119],[378],[710156.771557697],[2226499.8411537893],[0.0]
2392.0,[1122],[379],[712496.0886409828],[2233834.085595474],[0.0]
2399.0,[1124],[381],[713219.4882409389],[2236102.080722598],[0.0]
2406.0,[1128],[382],[717046.82029472],[2248101.596156331],[0.0]
2411.0,[1130],[382],[718370.7928366188],[2252252.4897755603],[0.0]
2418.0,[1133],[383],[721156.2851982004],[2260985.6215161253],[0.0]
2423.0,[1136],[383],[722973.7363291415],[2266683.7194573744],[0.0]
2430.0,[1140],[384],[726326.2921451547],[2277194.661592315],[0.0]
2437.0,[1142],[386],[726326.2921451547],[2277194.661592315],[0.0]
2444.0,[1146],[387],[727532.7032348635],[2280977.0396325267],[0.0]
2449.0,[1148],[388],[728259.6499694631],[2283256.1568155475],[0.0]
2456.0,[1150],[391],[729918.6527364199],[2288457.5711922245],[0.0]
2461.0,[1153],[391],[732363.6736835599],[2296123.2162775756],[0.0]
2468.0,[1157],[392],[736143.1683064365],[2307972.866741917],[0.0]
2473.0,[1159],[392],[736143.1683064365],[2307972.866741917],[0.0]
2480.0,[1163],[394],[738167.4861682914],[2314319.4485619282],[0.0]
2485.0,[1164],[394],[738167.4861682914],[2314319.4485619282],[0.0]
2492.0,[1168],[395],[741409.4945451489],[2324483.908709406],[0.0]
2497.0,[1171],[395],[742099.3928341402],[2326646.8573280443],[0.0]
2504.0,[1173],[398],[743344.9372801217],[2330551.8552963245],[0.0]
2509.0,[1177],[398],[746739.5477850734],[2341194.7751784325],[0.0]
2516.0,[1180],[399],[748059.8217407379],[2345334.0636196146],[0.0]
2523.0,[1181],[401],[748059.8217407379],[2345334.0636196146],[0.0]
2528.0,[1185],[402],[751522.2208007541],[2356189.4230558905],[0.0]
2535.0,[1188],[404],[753604.002135563],[2362716.2977987747],[0.0]
2540.0,[1190],[404],[754272.1060188726],[2364810.9100407255],[0.0]
2547.0,[1194],[406],[754779.4842899621],[2366401.608691682],[0.0]
2552.0,[1195],[407],[754779.4842899621],[2366401.608691682],[0.0]
2559.0,[1199],[408],[758984.6443935777],[2379585.761328621],[0.0]
2564.0,[1201],[408],[761171.5614470927],[2386442.2548234304],[0.0]
2571.0,[1205],[409],[764760.8150843417],[2397695.326601606],[0.0]
2576.0,[1208],[409],[766099.6475052544],[2401892.811938411],[0.0]
